"City","State","year","month","temp"
"New York","NY","2011","10",14.3430004119873
"San Diego","CA","2011","10",18.3320007324219
"Flagstaff","AZ","2011","10",8.06500053405762
"Ajo ","AZ","2011","10",24.9860019683838
"Portland","OR","2011","10",13.0930004119873
"Raleigh","NC","2011","11",11.7240009307861
"Highlands","NC","2011","11",6.51100015640259
"Manteo","NC","2011","11",14.3550004959106
"Topeka","KS","2011","11",7.59700059890747
"Ann Arbor","MI","2011","11",6.42600011825562
"New York","NY","2011","11",10.3110008239746
"San Diego","CA","2011","11",14.8940010070801
"Flagstaff","AZ","2011","11",2.0460000038147
"Ajo ","AZ","2011","11",16.0500011444092
"Portland","OR","2011","11",7.22500038146973
"Raleigh","NC","2011","12",8.22900009155273
"Highlands","NC","2011","12",4.25
"Manteo","NC","2011","12",10.835000038147
"Topeka","KS","2011","12",2.5310001373291
"Ann Arbor","MI","2011","12",0.570000052452087
"New York","NY","2011","12",5.48000049591064
"San Diego","CA","2011","12",12.1180009841919
"Flagstaff","AZ","2011","12",-3.45300006866455
"Ajo ","AZ","2011","12",10.1040000915527
"Portland","OR","2011","12",4.10500001907349
"Raleigh","NC","2021","01",4.64279985427856
"Highlands","NC","2021","01",2.11339998245239
"Manteo","NC","2021","01",6.01909971237183
"Topeka","KS","2021","01",1.0291999578476
"Ann Arbor","MI","2021","01",-2.47160005569458
"New York","NY","2021","01",0.583799958229065
"San Diego","CA","2021","01",13.8737993240356
"Flagstaff","AZ","2021","01",-1.47259998321533
"Ajo ","AZ","2021","01",13.0979995727539
"Portland","OR","2021","01",6.97639989852905
"Raleigh","NC","2021","02",5.54629993438721
"Highlands","NC","2021","02",3.07639980316162
"Manteo","NC","2021","02",6.49689960479736
"Topeka","KS","2021","02",-5.44929981231689
"Ann Arbor","MI","2021","02",-6.16509962081909
"New York","NY","2021","02",-0.367300003767014
"San Diego","CA","2021","02",13.7929992675781
"Flagstaff","AZ","2021","02",0.167699992656708
"Ajo ","AZ","2021","02",15.3814992904663
"Portland","OR","2021","02",5.1943998336792
"Raleigh","NC","2021","03",12.2164993286133
"Highlands","NC","2021","03",8.14019966125488
"Manteo","NC","2021","03",11.2613000869751
"Topeka","KS","2021","03",9.40520000457764
"Ann Arbor","MI","2021","03",5.56159973144531
"New York","NY","2021","03",6.17229986190796
"San Diego","CA","2021","03",13.2295999526978
"Flagstaff","AZ","2021","03",1.18269991874695
"Ajo ","AZ","2021","03",16.6403999328613
"Portland","OR","2021","03",8.14109992980957
"Raleigh","NC","2021","04",16.0184993743896
"Highlands","NC","2021","04",10.2281999588013
"Manteo","NC","2021","04",14.8938999176025
"Topeka","KS","2021","04",11.9187994003296
"Ann Arbor","MI","2021","04",9.33010005950928
"New York","NY","2021","04",11.8208999633789
"San Diego","CA","2021","04",16.0228004455566
"Flagstaff","AZ","2021","04",6.89379978179932
"Ajo ","AZ","2021","04",23.1481990814209
"Portland","OR","2021","04",12.681999206543
"Raleigh","NC","2021","05",19.6054000854492
"Highlands","NC","2021","05",14.3178997039795
"Manteo","NC","2021","05",19.0471000671387
"Topeka","KS","2021","05",16.9750003814697
"Ann Arbor","MI","2021","05",13.7922992706299
"New York","NY","2021","05",16.3773994445801
"San Diego","CA","2021","05",16.7167987823486
"Flagstaff","AZ","2021","05",10.0187997817993
"Ajo ","AZ","2021","05",26.8317985534668
"Portland","OR","2021","05",15.0629997253418
"Raleigh","NC","2021","06",24.3403987884521
"Highlands","NC","2021","06",18.2679996490479
"Manteo","NC","2021","06",23.9191989898682
"Topeka","KS","2021","06",24.9475994110107
"Ann Arbor","MI","2021","06",21.3144989013672
"New York","NY","2021","06",23.0012989044189
"San Diego","CA","2021","06",18.8293991088867
"Flagstaff","AZ","2021","06",17.7672996520996
"Ajo ","AZ","2021","06",32.6945991516113
"Portland","OR","2021","06",20.8076992034912
"Raleigh","NC","2021","07",26.1170997619629
"Highlands","NC","2021","07",19.9885997772217
"Manteo","NC","2021","07",26.5585994720459
"Topeka","KS","2021","07",25.1856002807617
"Ann Arbor","MI","2021","07",22.0966987609863
"New York","NY","2021","07",24.6305999755859
"San Diego","CA","2021","07",21.5907001495361
"Flagstaff","AZ","2021","07",19.2033996582031
"Ajo ","AZ","2021","07",32.6173973083496
"Portland","OR","2021","07",21.9629993438721
"Raleigh","NC","2021","08",26.7565994262695
"Highlands","NC","2021","08",20.2171993255615
"Manteo","NC","2021","08",26.6579990386963
"Topeka","KS","2021","08",25.7646999359131
"Ann Arbor","MI","2021","08",22.9594993591309
"New York","NY","2021","08",24.8345985412598
"San Diego","CA","2021","08",22.2346992492676
"Flagstaff","AZ","2021","08",17.5089988708496
"Ajo ","AZ","2021","08",31.5555000305176
"Portland","OR","2021","08",21.6019992828369
"Raleigh","NC","2021","09",22.9249992370605
"Highlands","NC","2021","09",16.6912994384766
"Manteo","NC","2021","09",23.7159996032715
"Topeka","KS","2021","09",22.4282989501953
"Ann Arbor","MI","2021","09",18.2290992736816
"New York","NY","2021","09",20.874698638916
"San Diego","CA","2021","09",21.5523986816406
"Flagstaff","AZ","2021","09",14.9754991531372
"Ajo ","AZ","2021","09",29.7932987213135
"Portland","OR","2021","09",18.5250988006592
"Raleigh","NC","2021","10",18.5009002685547
"Highlands","NC","2021","10",12.7484998703003
"Manteo","NC","2021","10",19.7342987060547
"Topeka","KS","2021","10",15.5226993560791
"Ann Arbor","MI","2021","10",14.0972995758057
"New York","NY","2021","10",16.5557994842529
"San Diego","CA","2021","10",18.6075000762939
"Flagstaff","AZ","2021","10",6.68979978561401
"Ajo ","AZ","2021","10",22.5555000305176
"Portland","OR","2021","10",12.2602996826172
"Raleigh","NC","2021","11",9.50329971313477
"Highlands","NC","2021","11",5.79539966583252
"Manteo","NC","2021","11",11.8784999847412
"Topeka","KS","2021","11",7.98669958114624
"Ann Arbor","MI","2021","11",3.30599999427795
"New York","NY","2021","11",7.28679990768433
"San Diego","CA","2021","11",17.5627994537354
"Flagstaff","AZ","2021","11",4.93930006027222
"Ajo ","AZ","2021","11",21.094799041748
"Portland","OR","2021","11",9.91829967498779
"Raleigh","NC","2021","12",10.9530992507935
"Highlands","NC","2021","12",7.7504997253418
"Manteo","NC","2021","12",11.7578001022339
"Topeka","KS","2021","12",5.72169971466064
"Ann Arbor","MI","2021","12",1.77439999580383
"New York","NY","2021","12",5.01739978790283
"San Diego","CA","2021","12",12.897500038147
"Flagstaff","AZ","2021","12",0.145799994468689
"Ajo ","AZ","2021","12",14.4982995986938
"Portland","OR","2021","12",4.77110004425049
